best m,c is 1.710000,10.940000 with error 16.821073 in direction 0
best m,c is 1.700000,10.950000 with error 16.817127 in direction 7
best m,c is 1.700000,10.960000 with error 16.813009 in direction 0
best m,c is 1.700000,10.970000 with error 16.808897 in direction 0
best m,c is 1.700000,10.980000 with error 16.804790 in direction 0
best m,c is 1.700000,10.990000 with error 16.800688 in direction 0
best m,c is 1.700000,11.000000 with error 16.796590 in direction 0
best m,c is 1.700000,11.010000 with error 16.792498 in direction 0
best m,c is 1.700000,11.020000 with error 16.788410 in direction 0
best m,c is 1.700000,11.030000 with error 16.784328 in direction 0
best m,c is 1.700000,11.040000 with error 16.780250 in direction 0
best m,c is 1.700000,11.050000 with error 16.776178 in direction 0
best m,c is 1.700000,11.060000 with error 16.772110 in direction 0
best m,c is 1.700000,11.070000 with error 16.768047 in direction 0
best m,c is 1.700000,11.080000 with error 16.763990 in direction 0
best m,c is 1.700000,11.090000 with error 16.759937 in direction 0
best m,c is 1.700000,11.100000 with error 16.755889 in direction 0
best m,c is 1.700000,11.110000 with error 16.751847 in direction 0
best m,c is 1.700000,11.120000 with error 16.747809 in direction 0
best m,c is 1.700000,11.130000 with error 16.743776 in direction 0
best m,c is 1.700000,11.140000 with error 16.739749 in direction 0
best m,c is 1.700000,11.150000 with error 16.735726 in direction 0
best m,c is 1.700000,11.160000 with error 16.731708 in direction 0
best m,c is 1.700000,11.170000 with error 16.727696 in direction 0
best m,c is 1.700000,11.180000 with error 16.723688 in direction 0
best m,c is 1.700000,11.190000 with error 16.719685 in direction 0
best m,c is 1.700000,11.200000 with error 16.715688 in direction 0
best m,c is 1.700000,11.210000 with error 16.711695 in direction 0
best m,c is 1.700000,11.220000 with error 16.707708 in direction 0
best m,c is 1.700000,11.230000 with error 16.703725 in direction 0
best m,c is 1.700000,11.240000 with error 16.699748 in direction 0
best m,c is 1.700000,11.250000 with error 16.695775 in direction 0
best m,c is 1.700000,11.260000 with error 16.691808 in direction 0
best m,c is 1.700000,11.270000 with error 16.687846 in direction 0
